stem_id,plot,date,location,species,dbh,canopy,genus_species,common_name,functional_group,notes
34,1,20210517,1,PRUNUS,9.3,I,Prunus sp.,cherry,intermediate,
35,1,20210517,1,PRUNUS,6.2,S,Prunus sp.,cherry,intermediate,
36,1,20210517,1,PITA,14.6,I,Pinus taeda,loblolly pine,pyrophyte,
37,1,20210517,1,VACCI,1.2,S,Vaccinium sp.,blueberry,mesophyte,
38,1,20210517,1,VACCI,1.6,S,Vaccinium sp.,blueberry,mesophyte,
39,1,20210517,1,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
40,1,20210517,1,CARYA,2.2,S,Carya sp.,hickory,intermediate,
41,1,20210517,FB,LIST,17.1,I,Liquidambar styraciflua,sweetgum,mesophyte,
42,1,20210517,FB,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
43,1,20210517,FB,QUNI,36.5,C,Quercus nigra,water oak,mesophyte,
44,1,20210517,E,LIST,18.7,C,Liquidambar styraciflua,sweetgum,mesophyte,
45,1,20210517,E,LIST,18.9,C,Liquidambar styraciflua,sweetgum,mesophyte,
46,1,20210517,2,LIST,5,S,Liquidambar styraciflua,sweetgum,mesophyte,
47,1,20210517,2,QUNI,26.8,C,Quercus nigra,water oak,mesophyte,
48,1,20210517,2,ACRU,8.5,S,Acer rubrum,red maple,mesophyte,
49,1,20210517,2,VACCI,2,S,Vaccinium sp.,blueberry,mesophyte,
50,1,20210517,2,QUNI,26.3,I,Quercus nigra,water oak,mesophyte,
51,1,20210517,2,LIST,4.2,S,Liquidambar styraciflua,sweetgum,mesophyte,
52,1,20210517,FB,QUNI,16.4,I,Quercus nigra,water oak,mesophyte,
53,1,20210517,2,JUVI,9,S,Juniperus virginiana,eastern red cedar,mesophyte,
54,1,20210517,2,JUVI,18.4,I,Juniperus virginiana,eastern red cedar,mesophyte,
55,1,20210517,2,VACCI,2,S,Vaccinium sp.,blueberry,mesophyte,
56,1,20210517,2,SW,16,I,Oxydendrum arboreum,sourwood,intermediate,CHECK THIS
57,1,20210517,2,PITA,16.8,C,Pinus taeda,loblolly pine,pyrophyte,
58,1,20210517,2,LIST,1.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
59,1,20210517,2,LIST,1.6,S,Liquidambar styraciflua,sweetgum,mesophyte,
60,1,20210517,2,LIST,1.2,S,Liquidambar styraciflua,sweetgum,mesophyte,
61,1,20210517,FB,CARYA,6.7,S,Carya sp.,hickory,intermediate,
62,1,20210517,FB,LIST,23.5,I,Liquidambar styraciflua,sweetgum,mesophyte,
63,1,20210517,FB,PITA,4.3,S,Pinus taeda,loblolly pine,pyrophyte,
64,1,20210517,2,PRUNUS,5,S,Prunus sp.,cherry,intermediate,
65,1,20210517,2,VACCI,1.3,S,Vaccinium sp.,blueberry,mesophyte,
66,1,20210517,2,QUNI,15.6,I,Quercus nigra,water oak,mesophyte,
67,1,20210517,2,VACCI,1.2,S,Vaccinium sp.,blueberry,mesophyte,
68,1,20210517,2,PITA,14.8,I,Pinus taeda,loblolly pine,pyrophyte,
69,1,20210517,2,LIST,1.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
70,1,20210517,2,LITU,5.2,S,Liquidambar styraciflua,tulip poplar,mesophyte,
71,1,20210517,2,PRUNUS,13.1,I,Prunus sp.,cherry,intermediate,
72,1,20210517,2,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
73,1,20210517,2,PRUNUS,11.9,S,Prunus sp.,cherry,intermediate,
74,1,20210517,2,LIST,2.1,S,Liquidambar styraciflua,sweetgum,mesophyte,
75,1,20210517,2,JUVI,1.7,S,Juniperus virginiana,eastern red cedar,mesophyte,
76,1,20210517,2,LIST,8.3,S,Liquidambar styraciflua,sweetgum,mesophyte,
77,1,20210517,2,LIST,11.7,I,Liquidambar styraciflua,sweetgum,mesophyte,
78,1,20210517,2,QUNI,26.3,C,Quercus nigra,water oak,mesophyte,
79,1,20210517,2,PITA,5,S,Pinus taeda,loblolly pine,pyrophyte,
80,1,20210517,2,LIST,21.6,C,Liquidambar styraciflua,sweetgum,mesophyte,
81,1,20210517,2,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
82,1,20210517,2,PIEC,31.4,C,Pinus echinata,shortleaf pine,pyrophyte,
83,1,20210517,2,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
84,1,20210517,2,LIST,11.1,S,Liquidambar styraciflua,sweetgum,mesophyte,
85,1,20210517,2,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
86,1,20210517,2,LIST,13.4,I,Liquidambar styraciflua,sweetgum,mesophyte,
87,1,20210517,2,VACCI,1.5,S,Vaccinium sp.,blueberry,mesophyte,
88,1,20210517,2,VACCI,2,S,Vaccinium sp.,blueberry,mesophyte,
89,1,20210517,2,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
90,1,20210517,2,VACCI,3.5,S,Vaccinium sp.,blueberry,mesophyte,
91,1,20210517,2,LITU,10.5,I,Liquidambar styraciflua,tulip poplar,mesophyte,
92,1,20210517,2,PITA,12.7,I,Pinus taeda,loblolly pine,pyrophyte,
93,1,20210517,E,LIST,14.2,I,Liquidambar styraciflua,sweetgum,mesophyte,
94,1,20210517,2,VACCI,2,S,Vaccinium sp.,blueberry,mesophyte,
95,1,20210517,2,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
96,1,20210517,2,VACCI,3,S,Vaccinium sp.,blueberry,mesophyte,
97,1,20210517,2,JUVI,2.7,S,Juniperus virginiana,eastern red cedar,mesophyte,
98,1,20210517,E,PIEC,18.8,C,Pinus echinata,shortleaf pine,pyrophyte,
99,1,20210517,E,PITA,49.1,D,Pinus taeda,loblolly pine,pyrophyte,
100,1,20210517,FB,LIST,4.3,S,Liquidambar styraciflua,sweetgum,mesophyte,
101,1,20210517,FB,PITA,10,I,Pinus taeda,loblolly pine,pyrophyte,
102,1,20210517,FB,LIST,16.1,I,Liquidambar styraciflua,sweetgum,mesophyte,
103,1,20210517,FB,CARYA,2.8,S,Carya sp.,hickory,intermediate,
104,1,20210517,FB,PRUNUS,13.7,I,Prunus sp.,cherry,intermediate,
105,1,20210517,FB,ACRU,9.1,S,Acer rubrum,red maple,mesophyte,
106,1,20210517,FB,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
107,1,20210517,3,JUVI,12.1,I,Juniperus virginiana,eastern red cedar,mesophyte,
108,1,20210517,3,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
109,1,20210517,3,LIST,8.4,S,Liquidambar styraciflua,sweetgum,mesophyte,
110,1,20210517,3,CARYA,12.2,I,Carya sp.,hickory,intermediate,
111,1,20210517,3,VACCI,5,S,Vaccinium sp.,blueberry,mesophyte,
112,1,20210517,3,JUVI,7.9,S,Juniperus virginiana,eastern red cedar,mesophyte,
113,1,20210517,3,NYSY,4.1,S,Nyssa sylvatica,black gum,mesophyte,
114,1,20210517,3,LIST,5.9,S,Liquidambar styraciflua,sweetgum,mesophyte,
115,1,20210517,3,VACCI,2,S,Vaccinium sp.,blueberry,mesophyte,
116,1,20210517,3,LIST,13.3,I,Liquidambar styraciflua,sweetgum,mesophyte,
117,1,20210517,3,PITA,13.6,I,Pinus taeda,loblolly pine,pyrophyte,
118,1,20210517,3,NYSY,6.6,I,Nyssa sylvatica,black gum,mesophyte,
119,1,20210517,3,LIST,7.2,S,Liquidambar styraciflua,sweetgum,mesophyte,
120,1,20210517,3,LIST,5,S,Liquidambar styraciflua,sweetgum,mesophyte,
121,1,20210517,3,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
122,1,20210517,3,QUAL,11.2,I,Quercus alba,white oak,pyrophyte,
123,1,20210517,3,LIST,17.8,I,Liquidambar styraciflua,sweetgum,mesophyte,
124,1,20210517,3,QUNI,39.7,C,Quercus nigra,water oak,mesophyte,
125,1,20210517,3,LIST,10.3,S,Liquidambar styraciflua,sweetgum,mesophyte,
126,1,20210517,FB,CARYA,7.7,S,Carya sp.,hickory,intermediate,
127,1,20210517,FB,NYSY,8.7,S,Nyssa sylvatica,black gum,mesophyte,
128,1,20210517,3,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
129,1,20210517,3,VACCI,3,S,Vaccinium sp.,blueberry,mesophyte,
130,1,20210517,3,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
131,1,20210517,3,VACCI,4.5,S,Vaccinium sp.,blueberry,mesophyte,
132,1,20210517,3,PITA,18.1,I,Pinus taeda,loblolly pine,pyrophyte,
133,1,20210517,3,VACCI,9,S,Vaccinium sp.,blueberry,mesophyte,
134,1,20210517,3,VACCI,5.2,S,Vaccinium sp.,blueberry,mesophyte,
135,1,20210517,3,PITA,7.2,I,Pinus taeda,loblolly pine,pyrophyte,
136,1,20210517,3,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
137,1,20210517,3,QUNI,27.9,C,Quercus nigra,water oak,mesophyte,
138,1,20210517,3,LIST,8.6,S,Liquidambar styraciflua,sweetgum,mesophyte,
139,1,20210517,3,LIST,3,S,Liquidambar styraciflua,sweetgum,mesophyte,
140,1,20210517,3,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
141,1,20210517,E,CARYA,4.5,S,Carya sp.,hickory,intermediate,
142,1,20210517,E,FLAG,4.4,S,#N/A,#N/A,#N/A,11:40
143,1,20210517,E,PIEC,28.8,C,Pinus echinata,shortleaf pine,pyrophyte,
144,1,20210517,3,LIST,6.1,S,Liquidambar styraciflua,sweetgum,mesophyte,
145,1,20210517,3,PITA,11.5,I,Pinus taeda,loblolly pine,pyrophyte,
146,1,20210517,3,LIST,1.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
147,1,20210517,3,VACCI,3.5,S,Vaccinium sp.,blueberry,mesophyte,
148,1,20210517,3,QUNI,34.5,C,Quercus nigra,water oak,mesophyte,
149,1,20210517,3,QUNI,12.1,S,Quercus nigra,water oak,mesophyte,
150,1,20210517,3,FLAG,6.3,S,#N/A,#N/A,#N/A,11:40
151,1,20210517,3,LIST,37,C,Liquidambar styraciflua,sweetgum,mesophyte,
152,1,20210517,3,VACCI,4.5,S,Vaccinium sp.,blueberry,mesophyte,
153,1,20210517,3,VACCI,4,S,Vaccinium sp.,blueberry,mesophyte,
154,1,20210517,3,VACCI,3,S,Vaccinium sp.,blueberry,mesophyte,
155,1,20210517,3,VACCI,3,S,Vaccinium sp.,blueberry,mesophyte,
156,1,20210517,E,QUNI,20,I,Quercus nigra,water oak,mesophyte,
157,1,20210517,3,PITA,4,S,Pinus taeda,loblolly pine,pyrophyte,
158,1,20210517,3,VACCI,3.5,S,Vaccinium sp.,blueberry,mesophyte,
159,1,20210517,3,PITA,1,S,Pinus taeda,loblolly pine,pyrophyte,
160,1,20210517,3,VACCI,5,S,Vaccinium sp.,blueberry,mesophyte,
161,1,20210517,E,QUNI,35.8,C,Quercus nigra,water oak,mesophyte,
162,1,20210517,FB,LIST,7.3,S,Liquidambar styraciflua,sweetgum,mesophyte,
163,1,20210517,E,QUNI,14.5,I,Quercus nigra,water oak,mesophyte,
164,1,20210517,4,LITU,9,I,Liquidambar styraciflua,tulip poplar,mesophyte,
165,1,20210517,4,QUAL,8.5,S,Quercus alba,white oak,pyrophyte,
166,1,20210517,4,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
167,1,20210517,4,LIST,1.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
168,1,20210517,4,PITA,17,S,Pinus taeda,loblolly pine,pyrophyte,
169,1,20210517,4,QUNI,15.5,I,Quercus nigra,water oak,mesophyte,
170,1,20210517,4,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
171,1,20210517,4,PITA,44.5,D,Pinus taeda,loblolly pine,pyrophyte,
172,1,20210517,4,LIST,1.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
173,1,20210517,4,LIST,8.9,S,Liquidambar styraciflua,sweetgum,mesophyte,
174,1,20210517,4,LIST,7.6,S,Liquidambar styraciflua,sweetgum,mesophyte,
175,1,20210517,4,LIST,14.9,S,Liquidambar styraciflua,sweetgum,mesophyte,
176,1,20210517,4,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
177,1,20210517,4,NYSY,19.9,S,Nyssa sylvatica,black gum,mesophyte,
178,1,20210517,E,QUNI,20.5,I,Quercus nigra,water oak,mesophyte,
179,1,20210517,E,QUNI,20,I,Quercus nigra,water oak,mesophyte,
180,1,20210517,4,NYSY,3.6,S,Nyssa sylvatica,black gum,mesophyte,
181,1,20210517,4,LIST,10.3,S,Liquidambar styraciflua,sweetgum,mesophyte,
182,1,20210517,4,QUNI,27.7,I,Quercus nigra,water oak,mesophyte,
183,1,20210517,4,CARYA,3.2,S,Carya sp.,hickory,intermediate,
184,1,20210517,4,CARYA,20.3,I,Carya sp.,hickory,intermediate,
185,1,20210517,4,LIST,11,S,Liquidambar styraciflua,sweetgum,mesophyte,
186,1,20210517,4,LIST,11.3,S,Liquidambar styraciflua,sweetgum,mesophyte,
187,1,20210517,4,PITA,43.4,C,Pinus taeda,loblolly pine,pyrophyte,
188,1,20210517,4,VACCI,4,S,Vaccinium sp.,blueberry,mesophyte,
189,1,20210517,4,LIST,18.5,I,Liquidambar styraciflua,sweetgum,mesophyte,
190,1,20210517,4,CARYA,4.5,S,Carya sp.,hickory,intermediate,
191,1,20210517,4,PRUNUS,5.5,S,Prunus sp.,cherry,intermediate,
192,1,20210517,4,LIST,19.7,I,Liquidambar styraciflua,sweetgum,mesophyte,
193,1,20210517,4,CARYA,5,S,Carya sp.,hickory,intermediate,
194,1,20210517,4,CARYA,6.5,S,Carya sp.,hickory,intermediate,
195,1,20210517,4,VACCI,1.5,S,Vaccinium sp.,blueberry,mesophyte,
196,1,20210517,4,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
197,1,20210517,E,QUNI,20.3,I,Quercus nigra,water oak,mesophyte,
198,1,20210517,4,QUNI,22,I,Quercus nigra,water oak,mesophyte,
199,1,20210517,4,PRUNUS,5.8,S,Prunus sp.,cherry,intermediate,
200,1,20210517,E,FAGR,13,S,Fagus grandifolia,American beech,mesophyte,
201,1,20210517,4,LIST,24.3,C,Liquidambar styraciflua,sweetgum,mesophyte,
202,1,20210517,4,CARYA,11.7,I,Carya sp.,hickory,intermediate,
203,1,20210517,4,VACCI,3.5,S,Vaccinium sp.,blueberry,mesophyte,
204,1,20210517,4,CARYA,12.2,S,Carya sp.,hickory,intermediate,
205,1,20210517,4,NYSY,5.3,S,Nyssa sylvatica,black gum,mesophyte,
206,1,20210517,E,QUNI,24.9,I,Quercus nigra,water oak,mesophyte,
207,1,20210517,E,QUNI,26.8,C,Quercus nigra,water oak,mesophyte,
208,1,20210517,E,LIST,16.3,S,Liquidambar styraciflua,sweetgum,mesophyte,
209,1,20210517,E,PITA,54.4,D,Pinus taeda,loblolly pine,pyrophyte,
210,1,20210517,4,PRUNUS,3.9,S,Prunus sp.,cherry,intermediate,
211,1,20210517,4,CARYA,10,S,Carya sp.,hickory,intermediate,
212,1,20210517,4,VACCI,1.5,S,Vaccinium sp.,blueberry,mesophyte,
213,1,20210517,4,QUAL,4.4,S,Quercus alba,white oak,pyrophyte,
214,1,20210517,4,PRUNUS,5.7,S,Prunus sp.,cherry,intermediate,
215,1,20210517,4,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
216,2,20210517,1,LIST,5.4,S,Liquidambar styraciflua,sweetgum,mesophyte,
217,2,20210517,1,LIST,11.8,I,Liquidambar styraciflua,sweetgum,mesophyte,
218,2,20210517,1,PITA,38,D,Pinus taeda,loblolly pine,pyrophyte,
219,2,20210517,1,QUNI,26.2,C,Quercus nigra,water oak,mesophyte,
220,2,20210517,1,LIST,1.9,S,Liquidambar styraciflua,sweetgum,mesophyte,
221,2,20210517,1,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
222,2,20210517,1,CARYA,8.7,I,Carya sp.,hickory,intermediate,
223,2,20210517,1,LIST,4.9,S,Liquidambar styraciflua,sweetgum,mesophyte,
224,2,20210517,1,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
225,2,20210517,1,LIST,1.7,S,Liquidambar styraciflua,sweetgum,mesophyte,
226,2,20210517,1,VACCI,3,S,Vaccinium sp.,blueberry,mesophyte,
227,2,20210517,1,ACRU,7,S,Acer rubrum,red maple,mesophyte,
228,2,20210517,1,QUNI,22.5,S,Quercus nigra,water oak,mesophyte,
229,2,20210517,1,QUAL,4,S,Quercus alba,white oak,pyrophyte,
230,2,20210517,1,VACCI,3.5,S,Vaccinium sp.,blueberry,mesophyte,
231,2,20210517,1,VACCI,9,S,Vaccinium sp.,blueberry,mesophyte,
232,2,20210517,1,PITA,8.5,I,Pinus taeda,loblolly pine,pyrophyte,
233,2,20210517,1,PRUNUS,7.7,S,Prunus sp.,cherry,intermediate,
234,2,20210517,1,PITA,29.7,D,Pinus taeda,loblolly pine,pyrophyte,
235,2,20210517,1,FAGR,14.7,I,Fagus grandifolia,American beech,mesophyte,
236,2,20210517,E,LIST,20.9,I,Liquidambar styraciflua,sweetgum,mesophyte,
237,2,20210517,1,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
238,2,20210517,1,VACCI,1,S,Vaccinium sp.,blueberry,mesophyte,
239,2,20210517,1,VACCI,3.5,S,Vaccinium sp.,blueberry,mesophyte,
240,2,20210517,1,PIEC,9.7,I,Pinus echinata,shortleaf pine,pyrophyte,
241,2,20210517,1,LIST,3.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
242,2,20210517,1,PRUNUS,14,I,Prunus sp.,cherry,intermediate,
243,2,20210517,1,VACCI,5,S,Vaccinium sp.,blueberry,mesophyte,
244,2,20210517,1,SW,18.8,I,Oxydendrum arboreum,sourwood,intermediate,
245,2,20210517,1,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
246,2,20210517,1,LIST,25.5,C,Liquidambar styraciflua,sweetgum,mesophyte,
247,2,20210517,1,NYSY,2.5,S,Nyssa sylvatica,black gum,mesophyte,
248,2,20210517,1,LIST,10,I,Liquidambar styraciflua,sweetgum,mesophyte,
249,2,20210517,1,LIST,3.7,S,Liquidambar styraciflua,sweetgum,mesophyte,
250,2,20210517,FB,QUNI,19.8,I,Quercus nigra,water oak,mesophyte,
251,2,20210517,E,FAGR,21.8,I,Fagus grandifolia,American beech,mesophyte,
252,2,20210517,E,PITA,20,C,Pinus taeda,loblolly pine,pyrophyte,
253,2,20210517,E,QUNI,17.4,I,Quercus nigra,water oak,mesophyte,
254,2,20210517,E,JUVI,1,S,Juniperus virginiana,eastern red cedar,mesophyte,
255,2,20210517,1,QUNI,40.4,C,Quercus nigra,water oak,mesophyte,
256,2,20210517,1,CARYA,5.1,S,Carya sp.,hickory,intermediate,
257,2,20210517,E,PITA,19.9,I,Pinus taeda,loblolly pine,pyrophyte,
258,2,20210517,E,PITA,15.8,I,Pinus taeda,loblolly pine,pyrophyte,
259,2,20210517,E,QUAL,5.7,S,Quercus alba,white oak,pyrophyte,
260,2,20210517,E,QUNI,6.9,S,Quercus nigra,water oak,mesophyte,
261,2,20210517,E,PITA,28.3,D,Pinus taeda,loblolly pine,pyrophyte,
262,2,20210517,2,FAGR,17.3,S,Fagus grandifolia,American beech,mesophyte,
263,2,20210517,2,FAGR,15.2,S,Fagus grandifolia,American beech,mesophyte,
264,2,20210517,2,CARYA,10.2,S,Carya sp.,hickory,intermediate,
265,2,20210517,FB,LIST,1.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
266,2,20210517,FB,PITA,18.5,I,Pinus taeda,loblolly pine,pyrophyte,
267,2,20210517,FB,LIST,1.8,S,Liquidambar styraciflua,sweetgum,mesophyte,
268,2,20210517,2,QUNI,34.2,C,Quercus nigra,water oak,mesophyte,
269,2,20210517,2,QUNI,27,C,Quercus nigra,water oak,mesophyte,
270,2,20210517,2,LIST,1.4,S,Liquidambar styraciflua,sweetgum,mesophyte,
271,2,20210517,2,QUAL,9.4,I,Quercus alba,white oak,pyrophyte,
272,2,20210517,2,LIST,32,I,Liquidambar styraciflua,sweetgum,mesophyte,
273,2,20210517,2,QUNI,8.4,I,Quercus nigra,water oak,mesophyte,
274,2,20210517,2,QUFA,12,S,Quercus falcata,southern red oak,pyrophyte,
275,2,20210517,2,QUAL,3.1,S,Quercus alba,white oak,pyrophyte,
276,2,20210517,2,LIST,32.7,C,Liquidambar styraciflua,sweetgum,mesophyte,
277,2,20210517,2,CARYA,14.8,I,Carya sp.,hickory,intermediate,
278,2,20210517,2,PIEC,17.3,I,Pinus echinata,shortleaf pine,pyrophyte,
279,2,20210517,E,FAGR,19.7,S,Fagus grandifolia,American beech,mesophyte,
280,2,20210517,E,FAGR,12,S,Fagus grandifolia,American beech,mesophyte,
281,2,20210517,E,PITA,41.5,C,Pinus taeda,loblolly pine,pyrophyte,
282,2,20210517,2,QUAL,47.8,C,Quercus alba,white oak,pyrophyte,
283,2,20210517,2,PRUNUS,7.3,S,Prunus sp.,cherry,intermediate,
284,2,20210517,2,NYSY,2,S,Nyssa sylvatica,black gum,mesophyte,
285,2,20210517,2,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
286,2,20210517,2,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
287,2,20210517,2,LIST,6.1,S,Liquidambar styraciflua,sweetgum,mesophyte,
288,2,20210517,2,QUAL,8.1,I,Quercus alba,white oak,pyrophyte,
289,2,20210517,2,LIST,3.8,S,Liquidambar styraciflua,sweetgum,mesophyte,
290,2,20210517,2,QUNI,22.8,I,Quercus nigra,water oak,mesophyte,
291,2,20210517,2,QUAL,12.4,I,Quercus alba,white oak,pyrophyte,
292,2,20210517,2,PITA,31.8,C,Pinus taeda,loblolly pine,pyrophyte,
293,2,20210517,2,VACCI,2.5,S,Vaccinium sp.,blueberry,mesophyte,
294,2,20210517,2,VACCI,8.5,S,Vaccinium sp.,blueberry,mesophyte,
295,2,20210517,2,NYSY,3.3,S,Nyssa sylvatica,black gum,mesophyte,
296,2,20210517,2,PITA,8,S,Pinus taeda,loblolly pine,pyrophyte,
297,2,20210517,2,QUAL,5,S,Quercus alba,white oak,pyrophyte,
298,2,20210517,2,QUNI,3.7,S,Quercus nigra,water oak,mesophyte,
299,2,20210517,2,QUNI,5,I,Quercus nigra,water oak,mesophyte,
300,2,20210517,2,LIST,2.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
301,2,20210517,FB,PITA,11.5,C,Pinus taeda,loblolly pine,pyrophyte,
302,2,20210517,3,LIST,20.2,I,Liquidambar styraciflua,sweetgum,mesophyte,
303,2,20210517,3,QUNI,17,S,Quercus nigra,water oak,mesophyte,
304,2,20210517,3,QUNI,17.5,S,Quercus nigra,water oak,mesophyte,
305,2,20210517,3,ACRU,24.5,I,Acer rubrum,red maple,mesophyte,
306,2,20210517,3,QUNI,8.5,S,Quercus nigra,water oak,mesophyte,
307,2,20210517,3,PITA,9.4,S,Pinus taeda,loblolly pine,pyrophyte,
308,2,20210517,3,PITA,14,I,Pinus taeda,loblolly pine,pyrophyte,
309,2,20210517,3,PITA,13.4,I,Pinus taeda,loblolly pine,pyrophyte,
310,2,20210517,3,SW,11,I,Oxydendrum arboreum,sourwood,intermediate,
311,2,20210517,3,PIEC,15.2,I,Pinus echinata,shortleaf pine,pyrophyte,
312,2,20210517,FB,PITA,32.3,C,Pinus taeda,loblolly pine,pyrophyte,
313,2,20210517,FB,LIST,2,S,Liquidambar styraciflua,sweetgum,mesophyte,
314,2,20210517,3,PRUNUS,16.7,I,Prunus sp.,cherry,intermediate,
315,2,20210517,3,LIST,4.1,S,Liquidambar styraciflua,sweetgum,mesophyte,
316,2,20210517,3,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
317,2,20210517,3,LIST,1,S,Liquidambar styraciflua,sweetgum,mesophyte,
318,2,20210517,3,LIST,3.5,S,Liquidambar styraciflua,sweetgum,mesophyte,
319,2,20210517,3,QUNI,10.5,I,Quercus nigra,water oak,mesophyte,
320,2,20210517,3,PITA,37.2,C,Pinus taeda,loblolly pine,pyrophyte,
321,2,20210517,3,PITA,20.5,C,Pinus taeda,loblolly pine,pyrophyte,
322,2,20210517,3,QUAL,6.2,S,Quercus alba,white oak,pyrophyte,
323,2,20210517,3,QUAL,5.4,S,Quercus alba,white oak,pyrophyte,
324,2,20210517,3,JUVI,6.5,S,Juniperus virginiana,eastern red cedar,mesophyte,
325,2,20210517,3,QUNI,8.5,S,Quercus nigra,water oak,mesophyte,
326,2,20210517,E,ACRU,18.7,I,Acer rubrum,red maple,mesophyte,
327,2,20210517,E,LIST,13,I,Liquidambar styraciflua,sweetgum,mesophyte,
328,2,20210517,E,FAGR,18,I,Fagus grandifolia,American beech,mesophyte,
329,2,20210517,3,LIST,17.4,I,Liquidambar styraciflua,sweetgum,mesophyte,
